name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
South Perry Lane,38,5587972,3848,4637,,10.252378059470805,1,29,,unclassified,11,"LINESTRING (-111.9047587 33.4236601, -111.904758 33.4235679)",walk,1
South Perry Lane,39,5587972,4637,3848,,10.252378059470805,1,29,,unclassified,11,"LINESTRING (-111.904758 33.4235679, -111.9047587 33.4236601)",walk,1
South Perry Lane,40,5587972,4637,4101,,42.53206855406878,1,29,,unclassified,11,"LINESTRING (-111.904758 33.4235679, -111.9047583 33.4231854)",walk,1
South Perry Lane,41,5587972,4101,4637,,42.53206855406878,1,29,,unclassified,11,"LINESTRING (-111.9047583 33.4231854, -111.904758 33.4235679)",walk,1
South Perry Lane,42,5587972,4101,3852,,20.174257158276617,1,29,,unclassified,11,"LINESTRING (-111.9047583 33.4231854, -111.9047778 33.4230047)",walk,1
South Perry Lane,43,5587972,3852,4101,,20.174257158276617,1,29,,unclassified,11,"LINESTRING (-111.9047778 33.4230047, -111.9047583 33.4231854)",walk,1
South Perry Lane,44,5587972,3852,3853,,31.75733749724763,1,29,,unclassified,11,"LINESTRING (-111.9047778 33.4230047, -111.9047785 33.4227191)",walk,1
South Perry Lane,45,5587972,3853,3852,,31.75733749724763,1,29,,unclassified,11,"LINESTRING (-111.9047785 33.4227191, -111.9047778 33.4230047)",walk,1
South Perry Lane,46,5587972,3853,4612,,13.770448589338413,1,29,,unclassified,11,"LINESTRING (-111.9047785 33.4227191, -111.9047823 33.4225953)",walk,1
South Perry Lane,47,5587972,4612,3853,,13.770448589338413,1,29,,unclassified,11,"LINESTRING (-111.9047823 33.4225953, -111.9047785 33.4227191)",walk,1
South Perry Lane,48,5587972,4612,1633,,23.00278058875383,1,29,,unclassified,11,"LINESTRING (-111.9047823 33.4225953, -111.9047887 33.4223885)",walk,1
South Perry Lane,49,5587972,1633,4612,,23.00278058875383,1,29,,unclassified,11,"LINESTRING (-111.9047887 33.4223885, -111.9047823 33.4225953)",walk,1
South Perry Lane,50,5587972,1633,1308,,39.401123946851584,1,29,,unclassified,11,"LINESTRING (-111.9047887 33.4223885, -111.9047821 33.4220342)",walk,1
South Perry Lane,51,5587972,1308,1633,,39.401123946851584,1,29,,unclassified,11,"LINESTRING (-111.9047821 33.4220342, -111.9047887 33.4223885)",walk,1
South Marilyn Ann Drive,52,5588937,7,1481,,55.15274687633584,1,29,,residential,6,"LINESTRING (-111.9514312 33.4138249, -111.9514303 33.4143209)",walk,1
South Marilyn Ann Drive,53,5588937,1481,7,,55.15274687633584,1,29,,residential,6,"LINESTRING (-111.9514303 33.4143209, -111.9514312 33.4138249)",walk,1
South Marilyn Ann Drive,54,5588943,8,855,,23.006685368218395,1,29,,residential,6,"LINESTRING (-111.9493933 33.4131322, -111.9495659 33.4129837)",walk,1
South Marilyn Ann Drive,55,5588943,855,8,,23.006685368218395,1,29,,residential,6,"LINESTRING (-111.9495659 33.4129837, -111.9493933 33.4131322)",walk,1
