route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455330,Downtown Tempe/ASU,0,JUPI0027,22300,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455331,Downtown Tempe/ASU,0,JUPI0027,22273,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455332,Downtown Tempe/ASU,0,JUPI0027,22295,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455333,Downtown Tempe/ASU,0,JUPI0027,22274,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455334,Downtown Tempe/ASU,0,JUPI0027,22311,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455335,Downtown Tempe/ASU,0,JUPI0027,22253,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455336,Downtown Tempe/ASU,0,JUPI0027,22287,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455337,Downtown Tempe/ASU,0,JUPI0027,22302,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455338,Downtown Tempe/ASU,0,JUPI0027,22306,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455339,Downtown Tempe/ASU,0,JUPI0027,22290,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455340,Downtown Tempe/ASU,0,JUPI0027,22266,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455341,Downtown Tempe/ASU,0,JUPI0027,22256,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455342,Downtown Tempe/ASU,0,JUPI0027,22279,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455343,Downtown Tempe/ASU,0,JUPI0027,22296,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455344,Downtown Tempe/ASU,0,JUPI0027,22297,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455345,Downtown Tempe/ASU,0,JUPI0027,22294,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455346,Downtown Tempe/ASU,0,JUPI0027,22284,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455347,Downtown Tempe/ASU,0,JUPI0027,22250,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455348,Downtown Tempe/ASU,0,JUPI0027,22293,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455349,Downtown Tempe/ASU,0,JUPI0027,22271,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455350,Downtown Tempe/ASU,0,JUPI0027,22299,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455351,Downtown Tempe/ASU,0,JUPI0027,22277,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455352,Downtown Tempe/ASU,0,JUPI0027,22301,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455353,Downtown Tempe/ASU,0,JUPI0027,22255,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455354,Downtown Tempe/ASU,0,JUPI0027,22282,
JUPI,Local-Weekday-4-2007-VMTM-1111100,14455355,Downtown Tempe/ASU,0,JUPI0027,22286,
